Date,Region,Daily confirmed,Daily probable,Daily deceased,Daily total cases,Cumulative confirmed,Cumulative probable,Cumulative deceased,Cumulative total cases
26/02/2020,Auckland,1,0,0,1,1,0,0,1
26/02/2020,Bay of Plenty,0,0,0,0,0,0,0,0
26/02/2020,Canterbury,0,0,0,0,0,0,0,0
26/02/2020,Capital and Coast,0,0,0,0,0,0,0,0
26/02/2020,Counties Manukau,0,0,0,0,0,0,0,0
26/02/2020,Hawke's Bay,0,0,0,0,0,0,0,0
26/02/2020,Hutt Valley,0,0,0,0,0,0,0,0
26/02/2020,Lakes,0,0,0,0,0,0,0,0
26/02/2020,Midcentral,0,0,0,0,0,0,0,0
26/02/2020,Nelson Marlborough,0,0,0,0,0,0,0,0
26/02/2020,Northland,0,0,0,0,0,0,0,0
26/02/2020,South Canterbury,0,0,0,0,0,0,0,0
26/02/2020,Southern,0,0,0,0,0,0,0,0
26/02/2020,Tairawhiti,0,0,0,0,0,0,0,0
26/02/2020,Taranaki,0,0,0,0,0,0,0,0
26/02/2020,Waikato,0,0,0,0,0,0,0,0
26/02/2020,Wairarapa,0,0,0,0,0,0,0,0
26/02/2020,Waitemata,0,0,0,0,0,0,0,0
26/02/2020,West Coast,0,0,0,0,0,0,0,0
26/02/2020,Whanganui,0,0,0,0,0,0,0,0
27/02/2020,Auckland,0,0,0,0,1,0,0,1
27/02/2020,Bay of Plenty,0,0,0,0,0,0,0,0
27/02/2020,Canterbury,0,0,0,0,0,0,0,0
27/02/2020,Capital and Coast,0,0,0,0,0,0,0,0
27/02/2020,Counties Manukau,0,0,0,0,0,0,0,0
27/02/2020,Hawke's Bay,0,0,0,0,0,0,0,0
27/02/2020,Hutt Valley,0,0,0,0,0,0,0,0
27/02/2020,Lakes,0,0,0,0,0,0,0,0
27/02/2020,Midcentral,0,0,0,0,0,0,0,0
27/02/2020,Nelson Marlborough,0,0,0,0,0,0,0,0
27/02/2020,Northland,0,0,0,0,0,0,0,0
27/02/2020,South Canterbury,0,0,0,0,0,0,0,0
27/02/2020,Southern,0,0,0,0,0,0,0,0
27/02/2020,Tairawhiti,0,0,0,0,0,0,0,0
27/02/2020,Taranaki,0,0,0,0,0,0,0,0
27/02/2020,Waikato,0,0,0,0,0,0,0,0
27/02/2020,Wairarapa,0,0,0,0,0,0,0,0
27/02/2020,Waitemata,0,0,0,0,0,0,0,0
27/02/2020,West Coast,0,0,0,0,0,0,0,0
27/02/2020,Whanganui,0,0,0,0,0,0,0,0
28/02/2020,Auckland,0,0,0,0,1,0,0,1
28/02/2020,Bay of Plenty,0,0,0,0,0,0,0,0
28/02/2020,Canterbury,0,0,0,0,0,0,0,0
28/02/2020,Capital and Coast,0,0,0,0,0,0,0,0
28/02/2020,Counties Manukau,0,0,0,0,0,0,0,0
28/02/2020,Hawke's Bay,0,0,0,0,0,0,0,0
28/02/2020,Hutt Valley,0,0,0,0,0,0,0,0
28/02/2020,Lakes,0,0,0,0,0,0,0,0
28/02/2020,Midcentral,0,0,0,0,0,0,0,0
28/02/2020,Nelson Marlborough,0,0,0,0,0,0,0,0
28/02/2020,Northland,0,0,0,0,0,0,0,0
28/02/2020,South Canterbury,0,0,0,0,0,0,0,0
28/02/2020,Southern,0,0,0,0,0,0,0,0
28/02/2020,Tairawhiti,0,0,0,0,0,0,0,0
28/02/2020,Taranaki,0,0,0,0,0,0,0,0
28/02/2020,Waikato,0,0,0,0,0,0,0,0
28/02/2020,Wairarapa,0,0,0,0,0,0,0,0
28/02/2020,Waitemata,0,0,0,0,0,0,0,0
28/02/2020,West Coast,0,0,0,0,0,0,0,0
28/02/2020,Whanganui,0,0,0,0,0,0,0,0
29/02/2020,Auckland,0,0,0,0,1,0,0,1
29/02/2020,Bay of Plenty,0,0,0,0,0,0,0,0
29/02/2020,Canterbury,0,0,0,0,0,0,0,0
29/02/2020,Capital and Coast,0,0,0,0,0,0,0,0
29/02/2020,Counties Manukau,0,0,0,0,0,0,0,0
29/02/2020,Hawke's Bay,0,0,0,0,0,0,0,0
29/02/2020,Hutt Valley,0,0,0,0,0,0,0,0
29/02/2020,Lakes,0,0,0,0,0,0,0,0
29/02/2020,Midcentral,0,0,0,0,0,0,0,0
29/02/2020,Nelson Marlborough,0,0,0,0,0,0,0,0
29/02/2020,Northland,0,0,0,0,0,0,0,0
29/02/2020,South Canterbury,0,0,0,0,0,0,0,0
29/02/2020,Southern,0,0,0,0,0,0,0,0
29/02/2020,Tairawhiti,0,0,0,0,0,0,0,0
29/02/2020,Taranaki,0,0,0,0,0,0,0,0
29/02/2020,Waikato,0,0,0,0,0,0,0,0
29/02/2020,Wairarapa,0,0,0,0,0,0,0,0
29/02/2020,Waitemata,0,0,0,0,0,0,0,0
29/02/2020,West Coast,0,0,0,0,0,0,0,0
29/02/2020,Whanganui,0,0,0,0,0,0,0,0
01/03/2020,Auckland,0,0,0,0,1,0,0,1
01/03/2020,Bay of Plenty,0,0,0,0,0,0,0,0
